query,model,latency
What are office timings?,openai/gpt-3.5-turbo,3.6093
How many annual leaves are allowed?,openai/gpt-3.5-turbo,1.6118
Which cloud platform is used?,openai/gpt-3.5-turbo,1.6323
2026-05-31T22:34:40.301142,What are office timings?,openai/gpt-3.5-turbo,3.9271,372.8,477.1,3069.2
2026-05-31T22:37:11.342000,What are the office timings?,openai/gpt-3.5-turbo,3.5404,85.6,357.5,3091.2
2026-05-31T22:37:59.345765,What are the office timings?,openai/gpt-3.5-turbo,2.6298,73.5,207.5,2348.5
2026-05-31T22:39:16.040005,What are the office timings?,openai/gpt-3.5-turbo,2.2552,42.1,642.2,1570.5
2026-05-31T22:39:17.400375,How many annual leaves are allowed?,openai/gpt-3.5-turbo,1.3527,59.0,410.0,883.6
2026-05-31T22:39:19.316175,Is remote work allowed?,openai/gpt-3.5-turbo,1.9127,220.9,427.7,1263.8
2026-05-31T22:39:20.647990,What authentication is mandatory?,openai/gpt-3.5-turbo,1.2765,75.4,290.7,910.0
2026-05-31T22:39:22.282120,Which cloud platform is used?,openai/gpt-3.5-turbo,1.6311,36.6,419.3,1175.0
2026-05-31T22:39:23.552001,What is the dress code policy?,openai/gpt-3.5-turbo,1.2674,39.1,369.2,858.9
2026-05-31T22:39:24.830350,How many sick leaves are available per year?,openai/gpt-3.5-turbo,1.2742,60.7,445.7,767.3
2026-05-31T22:39:26.233531,What is the probation period?,openai/gpt-3.5-turbo,1.3987,58.0,544.1,796.4
2026-05-31T22:39:28.386883,What is the notice period for resignation?,openai/gpt-3.5-turbo,2.1496,87.5,747.0,1314.9
2026-05-31T22:39:29.644614,Is overtime compensated?,openai/gpt-3.5-turbo,1.2543,66.5,410.0,777.5
2026-05-31T22:52:05.797381,What is the company's remote work policy?,openai/gpt-3.5-turbo,4.2131,88.3,681.1,3438.0
2026-05-31T22:53:00.556400,What is the company's remote work policy?,openai/gpt-3.5-turbo,3.2346,217.6,1647.6,1369.0
2026-05-31T22:53:35.493549,What are the office timings?,openai/gpt-3.5-turbo,2.3659,86.3,800.1,1479.0
2026-05-31T22:53:37.486295,How many annual leaves are allowed?,openai/gpt-3.5-turbo,1.9615,68.8,775.8,1116.7
2026-05-31T22:53:39.100010,Is remote work allowed?,openai/gpt-3.5-turbo,1.5806,151.1,560.1,869.0
2026-05-31T22:53:40.702850,What authentication is mandatory?,openai/gpt-3.5-turbo,1.5754,122.7,444.3,1008.0
2026-05-31T22:53:42.255540,Which cloud platform is used?,openai/gpt-3.5-turbo,1.5239,42.1,569.7,911.8
2026-05-31T22:54:10.196700,What are the office timings?,openai/gpt-3.5-turbo,4.5377,544.1,2422.6,1570.2
